Date,First vaccine. Daily,Proportion,Kumuleret antal 1st vaccine.,Cummulative  2nd vaccine.
2020/12/27,6398,0.11,6398,
2020/12/28,2023,0.14,8421,
2020/12/29,8824,0.3,17245,
2020/12/30,11311,0.49,28556,
2020/12/31,6081,0.59,34637,
2021/1/1,2307,0.63,36944,
2021/1/2,8750,0.78,45694,
2021/1/3,5894,0.88,51588,
2021/1/4,2396,0.92,53984,
2021/1/5,13349,1.15,67333,
2021/1/6,19491,1.49,86824,
2021/1/7,17273,1.78,104097,
2021/1/8,8354,1.92,112451,
2021/1/9,1896,1.96,114347,
2021/1/10,813,1.97,115160,
2021/1/11,656,1.98,115816,
2021/1/12,462,1.99,116278,
2021/1/13,12651,2.21,128929,
2021/1/14,17795,2.51,146724,
2021/1/15,15100,2.77,161824,5
2021/1/16,4580,2.85,166404,12
2021/1/17,2501,2.89,168905,714
2021/1/18,3836,2.96,172741,2824
2021/1/19,2465,3,175206,4895
2021/1/20,1498,3.02,176704,6769
2021/1/21,1514,3.05,178218,9105
2021/1/22,660,3.06,178878,14753
2021/1/23,749,3.07,179627,21890
2021/1/24,601,3.08,180228,28413
2021/1/25,277,3.09,180505,30903
2021/1/26,216,3.09,180721,32636
2021/1/27,205,3.1,180926,37000
2021/1/28,224,3.1,181150,45115
2021/1/29,1116,3.12,182266,63374
2021/1/30,1196,3.14,183462,76277
2021/1/31,1218,3.16,184680,88551
2021/2/1,749,3.17,185429,96437
2021/2/2,2030,3.21,187459,99454
2021/2/3,1543,3.23,189002,105632
2021/2/4,1424,3.26,190426,116526
2021/2/5,1587,3.29,192013,129957
2021/2/6,1024,3.3,193037,136724
2021/2/7,1902,3.34,194939,140360
2021/2/8,2539,3.38,197478,147403
2021/2/9,3552,3.44,201030,152304
2021/2/10,3279,3.5,204309,156216
2021/2/11,5671,3.59,209980,158669
2021/2/12,12043,3.8,222023,166294
2021/2/13,6555,3.91,228578,167265
2021/2/14,6227,4.02,234805,167892
2021/2/15,13852,4.25,248657,171028
2021/2/16,13241,4.48,261898,172367
2021/2/17,10465,4.66,272363,172798
2021/2/18,11472,4.86,283835,173106
2021/2/19,13905,5.09,297740,174076
2021/2/20,10509,5.27,308249,174651
2021/2/21,10812,5.46,319061,175005
2021/2/22,13522,5.69,332583,176106
2021/2/23,14407,5.94,346990,178057
2021/2/24,13703,6.17,360693,180025
2021/2/25,14473,6.42,375166,180666
2021/2/26,36006,7.04,411172,181671
2021/2/27,6675,7.15,417847,183152
2021/2/28,11000,7.34,428847,184578
2021/3/1,19785,7.68,448632,185634
2021/3/2,16709,7.96,465341,186939
2021/3/3,13008,8.19,478349,187970
2021/3/4,17426,8.48,495775,189785
2021/3/5,16655,8.77,512430,195475
2021/3/6,14652,9.02,527082,199487
2021/3/7,12068,9.23,539150,203841
2021/3/8,9626,9.39,548776,210331
2021/3/9,10928,9.58,559704,217594
2021/3/10,12078,9.78,571782,224897
2021/3/11,4594,9.86,576376,232972
2021/3/12,3376,9.92,579752,243655
2021/3/13,4541,10,584293,249633
2021/3/14,1235,10,585528,259070
2021/3/15,2836,10.1,588364,269033
2021/3/16,6830,10.2,595194,278555
2021/3/17,10742,10.4,605936,287811
2021/3/18,14699,10.6,620635,295065
2021/3/19,7843,10.8,628478,306898
2021/3/20,2948,10.8,631426,311775
2021/3/21,4965,10.9,636391,316470
2021/3/22,4082,11,640473,324313
2021/3/23,6105,11.1,646578,331962
2021/3/24,9860,11.2,656438,345507
2021/3/25,7736,11.4,664174,354005
2021/3/26,6164,11.5,670338,361930
2021/3/27,9989,11.6,680327,365070
2021/3/28,10807,11.8,691134,367890
2021/3/29,17961,12.1,709095,374146
2021/3/30,21659,12.5,730754,380254
2021/3/31,13092,12.7,743846,390146
